liaison,service,nb_circules,nb_annulation,nb_retard,nb_retard_sup_60,taux_retard,retard_moyen,taux_sup_60,taux_annulation,cause_Externe,cause_Infrastructure,cause_Gestion trafic,cause_Matériel roulant,cause_Gestion gare,cause_Voyageurs
TOULON → PARIS LYON,NATIONAL,26233,768,4256,1042,16.223840201273205,50.06805641588842,3.9720962146914194,2.8443390985519055,28.197591057658077,25.060736396221323,19.730137750850165,12.633742601542522,7.588710091912463,6.789082101815447
LILLE → PARIS NORD,NATIONAL,57392,2000,9261,606,16.13639531642041,21.05987458927195,1.0558962921661557,3.3674568965517246,16.280245803504993,22.230218767580798,26.31639944797626,15.671768703200058,13.756169231114084,5.745198046623813
RENNES → PARIS MONTPARNASSE,NATIONAL,69452,2201,11199,1152,16.12480562114842,28.599184445209826,1.6586995334907564,3.0717485660056103,23.712640526596868,27.883725675192572,17.24416771393259,17.26343199456675,5.57559829372768,8.320435795983537
PARIS LYON → NICE VILLE,NATIONAL,20795,642,3327,807,15.999038230343832,50.480425952728226,3.880740562635249,2.9948220366655782,27.88513923499724,22.159697626889617,18.214163201690614,18.652670277945003,5.735805009251972,7.352524649225563
AVIGNON TGV → PARIS LYON,NATIONAL,43567,1064,6944,1144,15.938669176211354,37.46315709223595,2.625840659214543,2.38399318859089,22.11719054518502,22.194799712850305,25.148588073090934,14.654947790639303,7.720162913044155,8.164310965190268
BORDEAUX ST JEAN → PARIS MONTPARNASSE,NATIONAL,88564,3136,14051,2094,15.865362901404634,39.00571147582354,2.3643918522198635,3.419847328244275,29.107166354989257,28.037005989001113,14.538770181672747,13.205151446618144,5.843165551198884,9.268740476519854
PARIS LYON → PERPIGNAN,NATIONAL,18307,640,2903,722,15.857322335718576,49.91491689116257,3.943846616048506,3.37784345806724,25.635152734064544,22.812441044866812,18.293419803635523,24.68556410219394,3.696925598291915,4.876496716947266
MARSEILLE ST CHARLES → LYON PART DIEU,NATIONAL,43217,1612,6702,933,15.50778628780341,34.314172399121574,2.158872665849087,3.5958865912690445,20.637057528951374,17.91886358588751,26.882986754467343,15.022667707568107,9.145961258616033,10.392463164509627
PARIS LYON → NIMES,NATIONAL,22891,836,3483,571,15.215586911886767,38.03759132952152,2.4944301253767858,3.523412146499768,18.60795396992112,17.587715390306307,16.07536861778122,35.72221513998468,7.054170175843802,4.952576706162879
LYON PART DIEU → RENNES,NATIONAL,8097,269,1229,263,15.178461158453748,46.964971521238404,3.2481165863900205,3.2153956490557016,23.39824668387344,23.2778865448353,20.0483298083334,19.684655717112403,4.788331747315115,8.802549498530338
ANGERS SAINT LAUD → PARIS MONTPARNASSE,NATIONAL,47112,1344,7138,925,15.151129223976906,31.988910626369066,1.9634063508235693,2.773650321941555,26.458724991208793,27.817870437173507,18.304815638197606,13.003371143888106,5.996746226656316,8.418471562875668
PARIS LYON → GRENOBLE,NATIONAL,19231,636,2838,451,14.757422910925069,38.93869059848149,2.3451718579377046,3.2012885689837423,18.664668374295513,23.28984374774889,21.460915798158382,25.3079677712234,7.822163083404147,3.4544412251696763
VANNES → PARIS MONTPARNASSE,NATIONAL,25731,891,3789,532,14.72542847149353,34.954445858009066,2.067544984648867,3.3468559837728193,27.86853254572116,29.479944126268435,13.581696840069277,16.854510737102572,5.485272188112357,6.730043562726216
PARIS LYON → BARCELONA,INTERNATIONAL,5687,125,833,238,14.647441533321611,52.90703051581753,4.184983295234746,2.1507226428079838,22.95915211453254,21.18167327343779,21.90943747272285,25.15849607591717,3.9727126812406164,4.81852838214903
PARIS MONTPARNASSE → VANNES,NATIONAL,24289,932,3554,501,14.632138004858167,35.48789485530787,2.062662110420355,3.6953332540343364,23.02699873945128,22.622247594396452,12.363729949874894,21.09036934252576,8.949104740583856,11.947549633167759
PARIS MONTPARNASSE → TOULOUSE MATABIAU,NATIONAL,18248,636,2665,662,14.604340201665936,51.760580288906006,3.6277948268303377,3.367930523194238,28.863211386390482,29.537712584659516,13.526272154234103,12.83939040654748,5.635504069518236,9.597909398650204
PARIS LYON → TOULON,NATIONAL,26006,872,3771,815,14.500499884642007,46.92889714147957,3.1338921787279856,3.244289009598929,23.03916783179087,18.647037273737244,17.338611782779548,25.08785965962581,7.873059370517871,8.014264081548667
PARIS LYON → ZURICH,INTERNATIONAL,12367,363,1792,292,14.490175466968545,39.94802827369234,2.361122341715857,2.8515318146111546,19.45334042796361,19.891972453756697,21.665869982759347,21.94201880066757,10.742961889907225,6.30383644494556
BORDEAUX ST JEAN → TOURCOING,NATIONAL,2499,120,358,100,14.325730292116848,46.38268156466481,4.001600640256102,4.581901489117984,17.611940298786454,16.43283582086932,24.308457711331897,16.084577114479284,15.761194029641631,9.80099502489141
PARIS LYON → ANNECY,NATIONAL,13916,458,1953,368,14.03420523138833,43.557347670745,2.644438056912906,3.1863086127730624,20.65294700052199,22.13952516217589,20.12731102307735,27.75020093714426,6.392120163540673,2.9378957135398407
PARIS LYON → GENEVE,INTERNATIONAL,19809,500,2750,399,13.882578625877127,38.62981212088497,2.014235953354536,2.4619626766458222,21.83378155537379,24.58824990916031,15.230957450996819,21.431942911529863,12.603049083077586,4.3120190898616295
BELLEGARDE (AIN) → PARIS LYON,NATIONAL,21822,569,2978,473,13.646778480432593,36.67782068482404,2.1675373476308315,2.541199589120629,28.082755969968844,23.729022810668532,25.487908372040874,11.706023018483737,6.442763581445296,4.55152624739272
PARIS MONTPARNASSE → LAVAL,NATIONAL,24408,602,3316,311,13.585709603408718,25.69864822038099,1.2741724024909866,2.4070371851259496,16.5544663186094,18.969536953576778,19.189279528492122,24.953804482070574,9.64936696037996,10.68354575687118
PARIS LYON → VALENCE ALIXAN TGV,NATIONAL,34406,1017,4646,711,13.503458699064117,37.04175822569935,2.066500029064698,2.871016006549417,13.41304085751621,15.531940902951394,17.832661827821738,38.125942380583325,9.718217887267224,5.378196143860111
PARIS LYON → SAINT ETIENNE CHATEAUCREUX,NATIONAL,9915,575,1330,132,13.41401916288452,29.752556391018295,1.3313161875945536,5.48141086749285,20.819972008043937,16.354066985554894,23.591779774501912,20.15253230480523,12.406901995048262,6.6747469320457675
PARIS LYON → AVIGNON TGV,NATIONAL,42736,886,5683,921,13.297922126544364,38.2630671184873,2.155091725945339,2.031085232222273,18.54242623095221,16.38565513149407,18.8707703633571,28.73640839270653,11.499706051210806,5.9650338302792845
PARIS LYON → MONTPELLIER,NATIONAL,22864,841,3032,640,13.261021693491953,45.19936759773239,2.7991602519244227,3.547774731069395,22.303484569513326,21.578342961761187,13.495935582079705,31.649103530202822,6.003531488569483,4.969601867873492
PARIS MONTPARNASSE → TOURS,NATIONAL,16148,594,2139,137,13.24622244240773,21.371583295163628,0.8484022789199901,3.5479632063074904,17.466048764054015,17.045912913002436,25.12907653200596,24.69400409656792,7.890363637379956,7.774594056989715
SAINT ETIENNE CHATEAUCREUX → PARIS LYON,NATIONAL,10000,320,1324,132,13.239999999999998,29.99006797551234,1.32,3.10077519379845,16.03459987207753,21.582873186259388,26.228677402260388,20.402250699256278,10.274789072602132,5.476809767544284
PARIS NORD → LILLE,NATIONAL,56798,1978,7500,643,13.204690305996692,24.67360834607531,1.1320821155674496,3.36531917789574,20.64312922811268,16.394204962336975,20.853483639035808,20.690232035565025,12.787138919993984,8.631811214955524
GRENOBLE → PARIS LYON,NATIONAL,18315,600,2407,365,13.142233142233142,37.27773752684876,1.9929019929019929,3.1720856463124503,21.265372902708112,26.22150359268261,27.265840150693045,14.080479510834351,7.023629650462851,4.143174192619038
NANTES → PARIS MONTPARNASSE,NATIONAL,54684,1698,7026,1225,12.848365152512617,38.83496583654423,2.240143369175627,3.011599446631904,28.996865868071797,26.963530912596717,16.619002909365744,12.82091887863938,6.426984395754262,8.172697035572103
PARIS NORD → ARRAS,NATIONAL,39699,1752,5023,458,12.65271165520542,24.449256752223242,1.1536814529333232,4.226677281609612,18.304451943015046,14.722395524477722,20.463675068423477,21.888958259178306,15.404112714559162,9.21640649034628
PARIS EST → METZ,NATIONAL,26300,678,3307,349,12.574144486692015,27.5615836391681,1.326996197718631,2.5131588701905256,18.867823177313763,14.740667933542307,18.58943556535788,26.54918184068683,14.617543510812126,6.635347972287099
PARIS MONTPARNASSE → LE MANS,NATIONAL,42764,1202,5291,433,12.3725563558133,23.34895170525336,1.0125339070246,2.7339307646817996,17.01101487683407,18.29032421147283,22.760670195254022,24.79922187565785,10.365140640046544,6.773628200734666
STRASBOURG → NANTES,NATIONAL,4857,149,600,130,12.353304508956146,46.06858333341667,2.6765493102738316,2.976428286056732,34.40764143229779,21.15056471307815,17.075752950684027,15.413527676367409,3.50727513241471,8.44523809515794
PARIS MONTPARNASSE → ST PIERRE DES CORPS,NATIONAL,44368,1492,5476,410,12.342228633249189,22.95615619448878,0.924089433826181,3.253379851722634,15.723223681171367,17.477740896240025,22.60379685326738,24.900116975306577,10.760543772418462,8.534577821596203
PARIS MONTPARNASSE → ANGERS SAINT LAUD,NATIONAL,45805,1237,5595,589,12.214823709202053,29.9182035195534,1.285885820325292,2.629565069512351,23.831067301727714,19.345390265683545,19.07704446978158,18.710554785082916,9.30260330636207,9.73333987136218
PARIS LYON → LAUSANNE,INTERNATIONAL,13216,486,1608,219,12.167070217917676,38.33167097215796,1.6570823244552058,3.546927455845862,20.917651315013025,24.643558744356216,20.821865390988815,21.095423952420173,8.618344333946158,3.9031562632756223
ST MALO → PARIS MONTPARNASSE,NATIONAL,9119,204,1100,113,12.062726176115802,30.437664141827277,1.2391709617282598,2.1881368658157245,21.644327226173008,31.449192726406928,14.412930934117735,19.74127364769956,4.5847946615597115,8.167480804043054
NANTES → STRASBOURG,NATIONAL,4940,141,595,163,12.044534412955466,49.78047619086555,3.2995951417004052,2.7750442826215314,28.04861944750462,20.4213685473629,19.744697879253554,13.970388155267258,3.277310924625337,14.537615045986346
PARIS LYON → MULHOUSE VILLE,NATIONAL,27442,701,3272,563,11.92332920341083,39.37265688725306,2.051599737628453,2.490850300252283,22.453562865828392,19.633897980813458,13.846930530645176,24.67587918606828,12.394003082505694,6.995726354138991
RENNES → LYON PART DIEU,NATIONAL,8390,256,999,219,11.907032181168058,48.459576243318324,2.6102502979737783,2.960906777700671,22.535861980066972,24.955142732850337,17.72588605926534,16.54042931821077,4.90490490502494,13.337775004581632
DUNKERQUE → PARIS NORD,NATIONAL,16764,724,1993,193,11.888570746838463,28.37307241947834,1.1512765449773323,4.139981701738335,21.696226520819035,29.22120849756326,24.688032685702673,14.306622147478201,7.036135751169327,3.051774397267496
AIX EN PROVENCE TGV → PARIS LYON,NATIONAL,40943,912,4867,1127,11.887257895122486,46.91670600399137,2.75260728329629,2.1789511408433877,24.951806991782423,23.1354834965202,18.722110718652036,15.212776252691187,9.340984427489433,8.636838112864712
PARIS MONTPARNASSE → ANGOULEME,NATIONAL,26345,1000,3124,390,11.8580375782881,33.467045342907696,1.480356803947618,3.6569756811117204,19.283313514571123,18.432745029256825,15.907459692915996,20.24505407777271,14.293068364863643,11.838359320619704
MARSEILLE ST CHARLES → PARIS LYON,NATIONAL,47683,963,5652,1327,11.853281043558502,48.179970166382546,2.7829624813874965,1.9796077786457262,26.877938288140836,23.072615725131303,17.547669899933325,15.816964886542575,8.14040595623522,8.544405244016724
REIMS → PARIS EST,NATIONAL,20851,549,2433,153,11.668505107668697,20.68134676030196,0.7337777564625197,2.5654205607476634,15.7665727678924,25.994507384463844,24.368849077434998,15.009733747159288,12.423382461360308,6.436954561689161
PARIS MONTPARNASSE → NANTES,NATIONAL,52444,1614,6034,999,11.505605979711692,39.194384687832866,1.9048890244832584,2.9856820452107,30.416078314588223,21.051299627327683,16.55798871151419,16.031763777752175,7.551818877309116,8.391050691508614
LYON PART DIEU → PARIS LYON,NATIONAL,62442,1471,7092,850,11.357739982703949,32.74240555643084,1.3612632522981327,2.3015661915416272,17.263522690908705,18.580492451990203,20.18709741151042,19.320481657173733,11.296074772766328,13.3523310156506
LA ROCHELLE VILLE → PARIS MONTPARNASSE,NATIONAL,20000,662,2266,288,11.33,35.17443100133915,1.44,3.2039492788694224,22.71648917542756,28.517111874001692,17.404005054238294,16.6808640962128,5.498736889483982,9.182792910635667
PARIS LYON → AIX EN PROVENCE TGV,NATIONAL,41909,855,4735,1006,11.298289150301844,45.94797358767044,2.400439046505524,1.999345243662894,20.768133884140873,17.699807705850194,14.329770539176586,29.5595115999243,10.812843120761245,6.829933150146789
PARIS NORD → DUNKERQUE,NATIONAL,17762,801,1965,260,11.062943362233984,34.55547073826616,1.4637991217205268,4.315035285244842,22.418706252882576,24.837075959663665,14.366070785255,22.226536101260354,10.463116827960691,5.688494072977721
TOURCOING → BORDEAUX ST JEAN,NATIONAL,2522,96,279,70,11.06264869151467,48.79683393045161,2.775574940523394,3.6669213139801378,19.580335731555316,25.95923261372891,16.306954436565913,30.59952038360597,2.8776978417173025,4.676258992826588
PARIS MONTPARNASSE → RENNES,NATIONAL,68764,2057,7527,825,10.946134605316736,29.167370427589304,1.1997556861148275,2.9045057257028284,19.113211903537046,19.246038476966785,15.502170719849476,24.604252815502488,12.183918473319407,9.350407610824806
PARIS LYON → LE CREUSOT MONTCEAU MONTCHANIN,NATIONAL,19871,289,2164,179,10.890242061295355,24.10076247649476,0.9008102259574253,1.433531746031746,15.801103637608637,20.60493259790898,20.11503209418089,25.171544215542745,12.653168164420748,5.654219290337991
PARIS MONTPARNASSE → BORDEAUX ST JEAN,NATIONAL,85519,2788,9287,1217,10.85957506519019,34.492721481993165,1.4230755738490861,3.1571676084568607,21.461686427432674,21.506466585768234,12.969755815794864,21.45252071822737,12.307486346008718,10.302084106768143
PARIS EST → REIMS,NATIONAL,20900,536,2263,181,10.82775119617225,24.536956842096185,0.8660287081339714,2.5004665049449524,19.01790809876191,13.509911602257013,18.26092679383199,25.555042509907523,15.346921221397258,8.309289773844307
